writer_id,character,source_txt,image_path
W1,A,assamese_data/Online Handwritten Assamese Characters Dataset/W1/1.1.txt,cnn_data/images_128/W1/W1__A__1.1.png
W1,O,assamese_data/Online Handwritten Assamese Characters Dataset/W1/10.1.txt,cnn_data/images_128/W1/W1__O__10.1.png
W1,MP,assamese_data/Online Handwritten Assamese Characters Dataset/W1/100.1.txt,cnn_data/images_128/W1/W1__MP__100.1.png
W1,MN,assamese_data/Online Handwritten Assamese Characters Dataset/W1/101.1.txt,cnn_data/images_128/W1/W1__MN__101.1.png
W1,NTR,assamese_data/Online Handwritten Assamese Characters Dataset/W1/102.1.txt,cnn_data/images_128/W1/W1__NTR__102.1.png
W1,MB,assamese_data/Online Handwritten Assamese Characters Dataset/W1/103.1.txt,cnn_data/images_128/W1/W1__MB__103.1.png
W1,LK,assamese_data/Online Handwritten Assamese Characters Dataset/W1/104.1.txt,cnn_data/images_128/W1/W1__LK__104.1.png
W1,MND,assamese_data/Online Handwritten Assamese Characters Dataset/W1/105.1.txt,cnn_data/images_128/W1/W1__MND__105.1.png
W1,FK,assamese_data/Online Handwritten Assamese Characters Dataset/W1/106.1.txt,cnn_data/images_128/W1/W1__FK__106.1.png
W1,LD,assamese_data/Online Handwritten Assamese Characters Dataset/W1/107.1.txt,cnn_data/images_128/W1/W1__LD__107.1.png
W1,LL,assamese_data/Online Handwritten Assamese Characters Dataset/W1/108.1.txt,cnn_data/images_128/W1/W1__LL__108.1.png
W1,LP,assamese_data/Online Handwritten Assamese Characters Dataset/W1/109.1.txt,cnn_data/images_128/W1/W1__LP__109.1.png
W1,OU,assamese_data/Online Handwritten Assamese Characters Dataset/W1/11.1.txt,cnn_data/images_128/W1/W1__OU__11.1.png
W1,LT,assamese_data/Online Handwritten Assamese Characters Dataset/W1/110.1.txt,cnn_data/images_128/W1/W1__LT__110.1.png
W1,SN,assamese_data/Online Handwritten Assamese Characters Dataset/W1/111.1.txt,cnn_data/images_128/W1/W1__SN__111.1.png
W1,SC,assamese_data/Online Handwritten Assamese Characters Dataset/W1/112.1.txt,cnn_data/images_128/W1/W1__SC__112.1.png
W1,SM,assamese_data/Online Handwritten Assamese Characters Dataset/W1/113.1.txt,cnn_data/images_128/W1/W1__SM__113.1.png
W1,SB,assamese_data/Online Handwritten Assamese Characters Dataset/W1/114.1.txt,cnn_data/images_128/W1/W1__SB__114.1.png
W1,FN,assamese_data/Online Handwritten Assamese Characters Dataset/W1/115.1.txt,cnn_data/images_128/W1/W1__FN__115.1.png
W1,FT,assamese_data/Online Handwritten Assamese Characters Dataset/W1/116.1.txt,cnn_data/images_128/W1/W1__FT__116.1.png
W1,SK,assamese_data/Online Handwritten Assamese Characters Dataset/W1/117.1.txt,cnn_data/images_128/W1/W1__SK__117.1.png
W1,SSTH,assamese_data/Online Handwritten Assamese Characters Dataset/W1/118.1.txt,cnn_data/images_128/W1/W1__SSTH__118.1.png
W1,SSM,assamese_data/Online Handwritten Assamese Characters Dataset/W1/119.1.txt,cnn_data/images_128/W1/W1__SSM__119.1.png
W1,KA,assamese_data/Online Handwritten Assamese Characters Dataset/W1/12.1.txt,cnn_data/images_128/W1/W1__KA__12.1.png
W1,SSN,assamese_data/Online Handwritten Assamese Characters Dataset/W1/120.1.txt,cnn_data/images_128/W1/W1__SSN__120.1.png
W1,SSB,assamese_data/Online Handwritten Assamese Characters Dataset/W1/121.1.txt,cnn_data/images_128/W1/W1__SSB__121.1.png
W1,ST,assamese_data/Online Handwritten Assamese Characters Dataset/W1/122.1.txt,cnn_data/images_128/W1/W1__ST__122.1.png
W1,SP,assamese_data/Online Handwritten Assamese Characters Dataset/W1/123.1.txt,cnn_data/images_128/W1/W1__SP__123.1.png
W1,SPH,assamese_data/Online Handwritten Assamese Characters Dataset/W1/124.1.txt,cnn_data/images_128/W1/W1__SPH__124.1.png
W1,STH,assamese_data/Online Handwritten Assamese Characters Dataset/W1/125.1.txt,cnn_data/images_128/W1/W1__STH__125.1.png
W1,SKH,assamese_data/Online Handwritten Assamese Characters Dataset/W1/126.1.txt,cnn_data/images_128/W1/W1__SKH__126.1.png
W1,NGG,assamese_data/Online Handwritten Assamese Characters Dataset/W1/127.1.txt,cnn_data/images_128/W1/W1__NGG__127.1.png
W1,NGC,assamese_data/Online Handwritten Assamese Characters Dataset/W1/128.1.txt,cnn_data/images_128/W1/W1__NGC__128.1.png
W1,FP,assamese_data/Online Handwritten Assamese Characters Dataset/W1/129.1.txt,cnn_data/images_128/W1/W1__FP__129.1.png
W1,KHA,assamese_data/Online Handwritten Assamese Characters Dataset/W1/13.1.txt,cnn_data/images_128/W1/W1__KHA__13.1.png
W1,NGN,assamese_data/Online Handwritten Assamese Characters Dataset/W1/130.1.txt,cnn_data/images_128/W1/W1__NGN__130.1.png
W1,XM,assamese_data/Online Handwritten Assamese Characters Dataset/W1/131.1.txt,cnn_data/images_128/W1/W1__XM__131.1.png
W1,NGJ,assamese_data/Online Handwritten Assamese Characters Dataset/W1/132.1.txt,cnn_data/images_128/W1/W1__NGJ__132.1.png
W1,MNTH,assamese_data/Online Handwritten Assamese Characters Dataset/W1/133.1.txt,cnn_data/images_128/W1/W1__MNTH__133.1.png
W1,NGK,assamese_data/Online Handwritten Assamese Characters Dataset/W1/134.1.txt,cnn_data/images_128/W1/W1__NGK__134.1.png
W1,KR,assamese_data/Online Handwritten Assamese Characters Dataset/W1/135.1.txt,cnn_data/images_128/W1/W1__KR__135.1.png
W1,TRU,assamese_data/Online Handwritten Assamese Characters Dataset/W1/136.1.txt,cnn_data/images_128/W1/W1__TRU__136.1.png
W1,BHR,assamese_data/Online Handwritten Assamese Characters Dataset/W1/137.1.txt,cnn_data/images_128/W1/W1__BHR__137.1.png
W1,THB,assamese_data/Online Handwritten Assamese Characters Dataset/W1/138.1.txt,cnn_data/images_128/W1/W1__THB__138.1.png
W1,DG,assamese_data/Online Handwritten Assamese Characters Dataset/W1/139.1.txt,cnn_data/images_128/W1/W1__DG__139.1.png
W1,GA,assamese_data/Online Handwritten Assamese Characters Dataset/W1/14.1.txt,cnn_data/images_128/W1/W1__GA__14.1.png
W1,DGH,assamese_data/Online Handwritten Assamese Characters Dataset/W1/140.1.txt,cnn_data/images_128/W1/W1__DGH__140.1.png
W1,DD,assamese_data/Online Handwritten Assamese Characters Dataset/W1/141.1.txt,cnn_data/images_128/W1/W1__DD__141.1.png
W1,DDH,assamese_data/Online Handwritten Assamese Characters Dataset/W1/142.1.txt,cnn_data/images_128/W1/W1__DDH__142.1.png
W1,HR,assamese_data/Online Handwritten Assamese Characters Dataset/W1/143.1.txt,cnn_data/images_128/W1/W1__HR__143.1.png
W1,GGU,assamese_data/Online Handwritten Assamese Characters Dataset/W1/144.1.txt,cnn_data/images_128/W1/W1__GGU__144.1.png
W1,GGN,assamese_data/Online Handwritten Assamese Characters Dataset/W1/145.1.txt,cnn_data/images_128/W1/W1__GGN__145.1.png
W1,NKH,assamese_data/Online Handwritten Assamese Characters Dataset/W1/146.1.txt,cnn_data/images_128/W1/W1__NKH__146.1.png
W1,NGH,assamese_data/Online Handwritten Assamese Characters Dataset/W1/147.1.txt,cnn_data/images_128/W1/W1__NGH__147.1.png
W1,NGKH,assamese_data/Online Handwritten Assamese Characters Dataset/W1/148.1.txt,cnn_data/images_128/W1/W1__NGKH__148.1.png
W1,TTH,assamese_data/Online Handwritten Assamese Characters Dataset/W1/149.1.txt,cnn_data/images_128/W1/W1__TTH__149.1.png
W1,GHA,assamese_data/Online Handwritten Assamese Characters Dataset/W1/15.1.txt,cnn_data/images_128/W1/W1__GHA__15.1.png
W1,PN,assamese_data/Online Handwritten Assamese Characters Dataset/W1/150.1.txt,cnn_data/images_128/W1/W1__PN__150.1.png
W1,HN,assamese_data/Online Handwritten Assamese Characters Dataset/W1/151.1.txt,cnn_data/images_128/W1/W1__HN__151.1.png
